County,Candidate,Party
HARGHITA,COJANI LUDMILA-SABINA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
HARGHITA,ȚEPEȘ-FOCȘA ROMEO,PARTIDUL SOCIAL DEMOCRAT
HARGHITA,DEAC PETRUȚA-GABRIELA,PARTIDUL SOCIAL DEMOCRAT
HARGHITA,RUSU VASILE,PARTIDUL SOCIAL DEMOCRAT
HARGHITA,VAIDOȘ ALEXANDRU,PARTIDUL SOCIAL DEMOCRAT
HARGHITA,HÎRLAV COSTIN,PARTIDUL SOCIAL DEMOCRAT
HARGHITA,PAVEL RĂZVAN,PARTIDUL SOCIAL DEMOCRAT
HARGHITA,OLTEANU PETRICĂ-OVIDIU,PARTIDUL SOCIAL DEMOCRAT
HARGHITA,CRAIA GHEORGHIȚĂ,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
HARGHITA,BARCSA LAJOS,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
HARGHITA,BURCSA ISTVÁN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
HARGHITA,MIRCEA VASILE,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
HARGHITA,BURCSA MARIA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
HARGHITA,MIKLÓS KATALIN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
HARGHITA,BURCSA MÁTÉ,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
HARGHITA,SERE CLAUDIU-ILIE,PARTIDUL S.O.S. ROMÂNIA
HARGHITA,IFTIME SORINA,PARTIDUL S.O.S. ROMÂNIA
HARGHITA,DIACU ANA-MARIA,PARTIDUL S.O.S. ROMÂNIA
HARGHITA,NIȚĂ DANIELA,PARTIDUL S.O.S. ROMÂNIA
HARGHITA,HÂRLAV CĂTĂLIN-VASILE,PARTIDUL S.O.S. ROMÂNIA

HARGHITA,COȘARCĂ FLORIN,PARTIDUL S.O.S. ROMÂNIA
HARGHITA,RUGINĂ DUMITRU,PARTIDUL S.O.S. ROMÂNIA
HARGHITA,SIMON MELINDA,PATRIOȚII POPORULUI ROMÂN
HARGHITA,MARTINESCU GEORGEL,ROMÂNIA SOCIALISTĂ
HARGHITA,OBRIȘCĂ PAUL-ALEXANDRU,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE
HARGHITA,PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA
HARGHITA,TERZIAN SIRUN,UNIUNEA ARMENILOR DIN ROMÂNIA
HARGHITA,BOGDAN-CĂUȘ-NICOLAIDES NARINE,UNIUNEA ARMENILOR DIN ROMÂNIA
HARGHITA,PAPAZIAN PETRU,UNIUNEA ARMENILOR DIN ROMÂNIA
HARGHITA,NACOV GHEORGHE,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
HARGHITA,TOPCIOV PETRU,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
HARGHITA,COSILCOV ADRIAN-SORIN,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
HARGHITA,IVANCIOV ANA-CAROLINA,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
HARGHITA,PIȚ DANIEL-MARIUS,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
HARGHITA,SEHABI PETRONELA,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
HARGHITA,GHERA GIURECI-SLOBODAN,UNIUNEA CROAȚILOR DIN ROMÂNIA
HARGHITA,FIRCZAK IULIUS -MARIAN,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
HARGHITA,GAL FRANCISC-OSCAR,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
HARGHITA,MUREȘAN MARIANA-SVETLANA,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
HARGHITA,BOJCSUK SVETLANA-CARMEN,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
HARGHITA,BODNARIUC GABRIELA-CRISTINA,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
HARGHITA,BOCICOR MARIA,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
HARGHITA,AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
HARGHITA,OMER METIN,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
HARGHITA,ZIADIN ELA,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
HARGHITA,ARSLAN OZGÜN,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
HARGHITA,VELULA ADEL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
HARGHITA,KELEMEN HUNOR,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
HARGHITA,HAJDU GÁBOR,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
HARGHITA,BENDE SÁNDOR,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
HARGHITA,LADÁNYI LÁSZLÓ-ZSOLT,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
HARGHITA,ZAKARIAS ZOLTÁN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
HARGHITA,ILYÉS SZABOLCS-GYÖRGY,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA

HARGHITA,TRANDAFIR-ORBÁN TIMEA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
HARGHITA,IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA
HARGHITA,MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA
HARGHITA,JUCAN IOANA-CRISTINA,UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA
HARGHITA,ZISOPOL DRAGOȘ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA
HARGHITA,LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA
HARGHITA,LONGHER VICTORIA,UNIUNEA POLONEZILOR DIN ROMÂNIA
HARGHITA,IRIȘEC IOSEF,UNIUNEA POLONEZILOR DIN ROMÂNIA
HARGHITA,ZIELONKA ANA,UNIUNEA POLONEZILOR DIN ROMÂNIA
HARGHITA,CIOBANU ADRIAN-GEORGE,UNIUNEA SALVAȚI ROMÂNIA
HARGHITA,CRÎSTICI OGNEAN,UNIUNEA SÂRBILOR DIN ROMÂNIA
HARGHITA,PETREȚCHI NICOLAE-MIROSLAV,UNIUNEA UCRAINENILOR DIN ROMÂNIA
HARGHITA,HORVAT IRINA-LIUBA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
HARGHITA,SAUCIUC ILIE,UNIUNEA UCRAINENILOR DIN ROMÂNIA
HARGHITA,SZABO-CONDREI MARIA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
HARGHITA,PASENCIUC VASILE,UNIUNEA UCRAINENILOR DIN ROMÂNIA
HARGHITA,GHERMAN LUCICA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
HUNEDOARA,HAȘA MARA-ȘTEFANIA,ALIANȚA NAȚIONAL CREȘTINĂ
HUNEDOARA,COMANICIU DAVID LUCIAN,ALIANȚA NAȚIONAL CREȘTINĂ
HUNEDOARA,BARSTAN TIBERIU-CLAUDIU,ALIANȚA PENTRU UNIREA ROMÂNILOR
HUNEDOARA,CAȚAN CRISTIAN,ALIANȚA PENTRU UNIREA ROMÂNILOR
HUNEDOARA,IONAȘCU GABRIEL,ALIANȚA PENTRU UNIREA ROMÂNILOR
HUNEDOARA,NICOLA ALINA-MARIA,ALIANȚA PENTRU UNIREA ROMÂNILOR
HUNEDOARA,CLEJ IOAN-EMANUEL,ALIANȚA PENTRU UNIREA ROMÂNILOR
HUNEDOARA,POPA IONUȚ-GEORGEL,ALIANȚA PENTRU UNIREA ROMÂNILOR
HUNEDOARA,ROTARIU VIOREL-ADELIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
HUNEDOARA,MAIER EMANUELA-DIDINA,ALIANȚA PENTRU UNIREA ROMÂNILOR
HUNEDOARA,GROSARU IOANA,ASOCIAȚIA ITALIENILOR DIN ROMÂNIA – RO.AS.IT.
HUNEDOARA,STOICA BOGDAN-ALIN,"ASOCIAȚIA ""LIGA ALBANEZILOR DIN ROMÂNIA"""
HUNEDOARA,STANCU IONEL,ASOCIAȚIA MACEDONENILOR DIN ROMÂNIA
HUNEDOARA,CODREANU CRISTINA,ASOCIAȚIA MACEDONENILOR DIN ROMÂNIA
HUNEDOARA,PĂUN NICOLAE,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
HUNEDOARA,PARASCHIV IULIAN-COSTEL,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""

HUNEDOARA,PARASCHIV BOGDAN-FLORIN,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
HUNEDOARA,GOTU VIORICA,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
HUNEDOARA,PĂUN IONUȚ-CONSTANTIN,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
HUNEDOARA,VASILE DANIEL,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
HUNEDOARA,OLĂRAȘU COSMIN-ALIN,CANDIDAT INDEPENDENT
HUNEDOARA,FEODOR SILVIU,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
HUNEDOARA,ARTION NICOLAE,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
HUNEDOARA,CRĂCIUN SVETLANA-FLORENTINA,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
HUNEDOARA,MARIȘ MARIUS-CRISTIAN,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
HUNEDOARA,CURIBAN NICULINA-LAURA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
HUNEDOARA,LENGYEL CLAUDIU-EDWARD,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
HUNEDOARA,JUGĂNARU ȘTEFANIA-SÎNZIANA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
HUNEDOARA,BARANCI SORIN,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
HUNEDOARA,VEXLER SILVIU,FEDERAȚIA COMUNITĂȚILOR EVREIEȘTI DIN ROMÂNIA
HUNEDOARA,ARION VIOREL,FORȚA DREPTEI
HUNEDOARA,BENKE ZOLTAN,FORȚA DREPTEI
HUNEDOARA,CÎMPIAN MIHAI-OVIDIU,FORȚA DREPTEI
HUNEDOARA,GHENEA SILVIA-ANETA,FORȚA DREPTEI
HUNEDOARA,POPA NICOLETA,FORȚA DREPTEI
HUNEDOARA,STEINBINDER CRISTIAN,FORȚA DREPTEI
HUNEDOARA,URSU DANIELA,FORȚA DREPTEI
HUNEDOARA,BOLDURA CRISTIAN-IOAN,FORȚA DREPTEI
HUNEDOARA,BOUDA ȘTEFAN,FORUMUL CEHILOR DIN ROMÂNIA
HUNEDOARA,MOȚEC ȘTEFAN,FORUMUL CEHILOR DIN ROMÂNIA
HUNEDOARA,PERVULESCU ASTRID-MARICHEN,FORUMUL CEHILOR DIN ROMÂNIA
HUNEDOARA,GANȚ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
HUNEDOARA,ȘINDILARIU THOMAS,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
HUNEDOARA,ROST ANDREA-BETTINA,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
HUNEDOARA,MANTA-KLEMENS CHRISTINE,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
HUNEDOARA,MUNTEAN CONSTANTIN-DANIEL,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
HUNEDOARA,RĂDOANE MARIUS,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
HUNEDOARA,UȚU IOAN-ALIN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
HUNEDOARA,POPA ALINA-NICOLETA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN

HUNEDOARA,KURKO RĂZVAN-ADRIAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
HUNEDOARA,CARMAZAN ALINA-MONICA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
HUNEDOARA,CRISTEAN ALEXANDRU,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
HUNEDOARA,TUDURAN FLORIN-PETRU,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
HUNEDOARA,STĂNESCU VETUȚA,PARTIDUL NAȚIONAL LIBERAL
HUNEDOARA,RĂDUCANU DANIEL,PARTIDUL NAȚIONAL LIBERAL
HUNEDOARA,MARINESCU DAN-CONSTANTIN,PARTIDUL NAȚIONAL LIBERAL
HUNEDOARA,JURCA HORIA-FLAVIUS,PARTIDUL NAȚIONAL LIBERAL
HUNEDOARA,POPA DORIN-IOAN,PARTIDUL NAȚIONAL LIBERAL
HUNEDOARA,TIRIC CRISTIAN-IOAN,PARTIDUL NAȚIONAL LIBERAL
HUNEDOARA,ARDELEAN NELU,PARTIDUL NAȚIONAL LIBERAL
HUNEDOARA,ALMĂȘAN ADRIANA,PARTIDUL NAȚIONAL LIBERAL
HUNEDOARA,CHITIC ADRIAN-NICU,PARTIDUL NOUA ROMÂNIE
HUNEDOARA,GAVRILĂ ANAMARIA,PARTIDUL OAMENILOR TINERI
HUNEDOARA,HÂRCEAGĂ ADRIAN,PARTIDUL OAMENILOR TINERI
HUNEDOARA,BOLD VIORICA-DELIA,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
HUNEDOARA,SUCIU ALIN-DANIEL,PARTIDUL ROMÂNIA ÎN ACȚIUNE
HUNEDOARA,MAREȘ CLAUDIA-EMILIA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
HUNEDOARA,FRĂȚILESCU BEBE,PARTIDUL ROMÂNIA ÎN ACȚIUNE
HUNEDOARA,SĂLCUCEANU ROXANA-IOANA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
HUNEDOARA,ENESCU PAUL-ALEXANDRU,PARTIDUL ROMÂNIA ÎN ACȚIUNE
HUNEDOARA,TODEA CĂTĂLIN PAUL,PARTIDUL ROMÂNIA ÎN ACȚIUNE
HUNEDOARA,POPESCU SORIN-CRISTIAN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
HUNEDOARA,SMARANDA MĂLINA-GEORGIANA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
HUNEDOARA,INTOTERO NATALIA-ELENA,PARTIDUL SOCIAL DEMOCRAT
HUNEDOARA,TOMA ILIE,PARTIDUL SOCIAL DEMOCRAT
HUNEDOARA,SALAN VIOREL,PARTIDUL SOCIAL DEMOCRAT
HUNEDOARA,COȚAN BENIAMIN,PARTIDUL SOCIAL DEMOCRAT
HUNEDOARA,COBORI GABRIELA-SORINA,PARTIDUL SOCIAL DEMOCRAT
HUNEDOARA,STOICA-MARIȘ EMIL,PARTIDUL SOCIAL DEMOCRAT
HUNEDOARA,HURGOIU LUMINIȚA-DANA,PARTIDUL SOCIAL DEMOCRAT
HUNEDOARA,DIMULESCU RODICA,PARTIDUL SOCIAL DEMOCRAT
HUNEDOARA,GAL IOSIF-OVIDIU,PARTIDUL SOCIAL DEMOCRAT UNIT

HUNEDOARA,UNTARU CLAUDIUS-MARCEL,PARTIDUL SOCIAL DEMOCRAT UNIT
HUNEDOARA,TELELEU LUCIA-DORINA,PARTIDUL SOCIAL DEMOCRAT UNIT
HUNEDOARA,LICIU ELENA,PARTIDUL SOCIAL DEMOCRAT UNIT
HUNEDOARA,IACOB VIOREL,PARTIDUL SOCIAL DEMOCRAT UNIT
HUNEDOARA,MOLDOVAN DANIELA-SIMONA,PARTIDUL SOCIAL DEMOCRAT UNIT
HUNEDOARA,TRUȚA ANA-DANIELA,PARTIDUL SOCIAL DEMOCRAT UNIT
HUNEDOARA,CIUBOTARIU CARMEN-GABRIELA,PARTIDUL SOCIAL DEMOCRAT UNIT
HUNEDOARA,LUPAȘ CLAUDIU-TEODOR,PARTIDUL S.O.S. ROMÂNIA
HUNEDOARA,COȘARIU PETRU-DAN,PARTIDUL S.O.S. ROMÂNIA
HUNEDOARA,HANDRACHI IZABELA-GHEORGHIANA,PARTIDUL S.O.S. ROMÂNIA
HUNEDOARA,DEMEAN VIOREL-CORNEL,PARTIDUL S.O.S. ROMÂNIA
HUNEDOARA,AVRĂMONI DARIUS-ANTONIU,PARTIDUL S.O.S. ROMÂNIA
HUNEDOARA,PODINA ROXANA-DENISA,PARTIDUL S.O.S. ROMÂNIA
HUNEDOARA,DUMITRU SIMONA-LUCI,PARTIDUL S.O.S. ROMÂNIA
HUNEDOARA,ZAHARIA MIRELA-DANIELA,PARTIDUL S.O.S. ROMÂNIA
HUNEDOARA,BOTA SANDA-IZABEL,PATRIOȚII POPORULUI ROMÂN
HUNEDOARA,FRĂȚILĂ MIRELA,PATRIOȚII POPORULUI ROMÂN
HUNEDOARA,RUJICI CRISTIAN-NICOLAE,PATRIOȚII POPORULUI ROMÂN
HUNEDOARA,SANDU CONSTANTIN,ROMÂNIA SOCIALISTĂ
HUNEDOARA,BORZA ANDREI,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE
HUNEDOARA,FATOL SÎNZIANA-IOANA,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE
HUNEDOARA,PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA
HUNEDOARA,TERZIAN SIRUN,UNIUNEA ARMENILOR DIN ROMÂNIA
HUNEDOARA,BOGDAN-CĂUȘ-NICOLAIDES NARINE,UNIUNEA ARMENILOR DIN ROMÂNIA
HUNEDOARA,PAPAZIAN PETRU,UNIUNEA ARMENILOR DIN ROMÂNIA
HUNEDOARA,NACOV GHEORGHE,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
HUNEDOARA,TOPCIOV PETRU,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
HUNEDOARA,COSILCOV ADRIAN-SORIN,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
HUNEDOARA,IVANCIOV ANA-CAROLINA,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
HUNEDOARA,PIȚ DANIEL-MARIUS,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
HUNEDOARA,SEHABI PETRONELA,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
HUNEDOARA,GHERA GIURECI-SLOBODAN,UNIUNEA CROAȚILOR DIN ROMÂNIA
HUNEDOARA,FIRCZAK IULIUS -MARIAN,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA

HUNEDOARA,GAL FRANCISC-OSCAR,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
HUNEDOARA,MUREȘAN MARIANA-SVETLANA,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
HUNEDOARA,BOJCSUK SVETLANA-CARMEN,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
HUNEDOARA,BODNARIUC GABRIELA-CRISTINA,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
HUNEDOARA,BOCICOR MARIA,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
HUNEDOARA,AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
HUNEDOARA,OMER METIN,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
HUNEDOARA,ZIADIN ELA,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
HUNEDOARA,ARSLAN OZGÜN,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
HUNEDOARA,VELULA ADEL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
HUNEDOARA,BORSAI ZOLTAN-CRISTIAN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
HUNEDOARA,KUTASI CSABA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
HUNEDOARA,PANĂ-ZRINYI ERZSÉBET,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
HUNEDOARA,POGOCSAN FERDINAND-ZOLTAN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
HUNEDOARA,BOGDAN ILDIKO,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
HUNEDOARA,BENEDEKFI DÁVID,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
HUNEDOARA,BARTOK RITA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
HUNEDOARA,MĂRGĂI ZOLTÁN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
HUNEDOARA,IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA
HUNEDOARA,MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA
HUNEDOARA,JUCAN IOANA-CRISTINA,UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA
HUNEDOARA,ZISOPOL DRAGOȘ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA
HUNEDOARA,LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA
HUNEDOARA,LONGHER VICTORIA,UNIUNEA POLONEZILOR DIN ROMÂNIA
HUNEDOARA,IRIȘEC IOSEF,UNIUNEA POLONEZILOR DIN ROMÂNIA
HUNEDOARA,ZIELONKA ANA,UNIUNEA POLONEZILOR DIN ROMÂNIA
HUNEDOARA,HANGAN POLLYANNA-HANELLORE,UNIUNEA SALVAȚI ROMÂNIA
HUNEDOARA,SECUI ADRIAN-IULIAN,UNIUNEA SALVAȚI ROMÂNIA
HUNEDOARA,TONCEA EUGEN-PETRIȘOR,UNIUNEA SALVAȚI ROMÂNIA
HUNEDOARA,BUZEȚELU DUMITRU-CLAUDIU,UNIUNEA SALVAȚI ROMÂNIA
HUNEDOARA,JULA-WRATTO CAMELIA-VOICHIȚA,UNIUNEA SALVAȚI ROMÂNIA
HUNEDOARA,FIRESCU FLORIN,UNIUNEA SALVAȚI ROMÂNIA
HUNEDOARA,CRÎSTICI OGNEAN,UNIUNEA SÂRBILOR DIN ROMÂNIA

HUNEDOARA,PETREȚCHI NICOLAE-MIROSLAV,UNIUNEA UCRAINENILOR DIN ROMÂNIA
HUNEDOARA,HORVAT IRINA-LIUBA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
HUNEDOARA,SAUCIUC ILIE,UNIUNEA UCRAINENILOR DIN ROMÂNIA
HUNEDOARA,SZABO-CONDREI MARIA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
HUNEDOARA,PASENCIUC VASILE,UNIUNEA UCRAINENILOR DIN ROMÂNIA
HUNEDOARA,GHERMAN LUCICA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
IALOMIŢA,DACHIN EDWARD-ALEXANDRU,ALIANȚA NAȚIONAL CREȘTINĂ
IALOMIŢA,CINZEACĂ ANCA,ALIANȚA NAȚIONAL CREȘTINĂ
IALOMIŢA,OANCEA SILVIU-FLORIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
IALOMIŢA,RADU PAROȘ-MIHĂIȚĂ,ALIANȚA PENTRU UNIREA ROMÂNILOR
IALOMIŢA,ALEXANDRESCU CRISTIAN-VLAD,ALIANȚA PENTRU UNIREA ROMÂNILOR
IALOMIŢA,STROE MIRELA,ALIANȚA PENTRU UNIREA ROMÂNILOR
IALOMIŢA,LUPEA AURELIAN,ALIANȚA PENTRU UNIREA ROMÂNILOR
IALOMIŢA,BĂRA VASILE,ALIANȚA PENTRU UNIREA ROMÂNILOR
IALOMIŢA,MOVILĂ CONSTANTIN,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
IALOMIŢA,IONESCU-CORBU ALICE,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
IALOMIŢA,STOIAN PETRUȘ,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
IALOMIŢA,GHEORGHE NICOLETA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
IALOMIŢA,BRICI CLAUDIU-MIHAI,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
IALOMIŢA,GHEORGHE MAȘICĂ,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
IALOMIŢA,GROSARU IOANA,ASOCIAȚIA ITALIENILOR DIN ROMÂNIA – RO.AS.IT.
IALOMIŢA,STOICA BOGDAN-ALIN,"ASOCIAȚIA ""LIGA ALBANEZILOR DIN ROMÂNIA"""
IALOMIŢA,STANCU IONEL,ASOCIAȚIA MACEDONENILOR DIN ROMÂNIA
IALOMIŢA,CODREANU CRISTINA,ASOCIAȚIA MACEDONENILOR DIN ROMÂNIA
IALOMIŢA,PĂUN NICOLAE,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
IALOMIŢA,PARASCHIV IULIAN-COSTEL,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
IALOMIŢA,PARASCHIV BOGDAN-FLORIN,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
IALOMIŢA,GOTU VIORICA,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
IALOMIŢA,PĂUN IONUȚ-CONSTANTIN,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
IALOMIŢA,VASILE DANIEL,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
IALOMIŢA,CAZACU MARINICĂ,CANDIDAT INDEPENDENT
IALOMIŢA,FEODOR SILVIU,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
IALOMIŢA,ARTION NICOLAE,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA

IALOMIŢA,CRĂCIUN SVETLANA-FLORENTINA,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
IALOMIŢA,VIDICAN COSMIN,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
IALOMIŢA,IORGA ELENA-ALEXANDRA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
IALOMIŢA,VEXLER SILVIU,FEDERAȚIA COMUNITĂȚILOR EVREIEȘTI DIN ROMÂNIA
IALOMIŢA,DUBĂLARU EUGEN-IONUȚ,FORȚA DREPTEI
IALOMIŢA,MOLDOVEANU IONUȚ,FORȚA DREPTEI
IALOMIŢA,GÂRBĂCEA GEORGE-MĂDĂLIN,FORȚA DREPTEI
IALOMIŢA,BUZEA MARIAN-SORIN,FORȚA DREPTEI
IALOMIŢA,STAN RALUCA-IONELA,FORȚA DREPTEI
IALOMIŢA,PANFIR IULIAN-NICOLAE,FORȚA DREPTEI
IALOMIŢA,BOUDA ȘTEFAN,FORUMUL CEHILOR DIN ROMÂNIA
