County,Candidate,Party
ALBA,MUREȘAN MARIANA-SVETLANA,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
ALBA,BOJCSUK SVETLANA-CARMEN,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
ALBA,BODNARIUC GABRIELA-CRISTINA,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
ALBA,BOCICOR MARIA,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
ALBA,AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
ALBA,OMER METIN,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
ALBA,ZIADIN ELA,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
ALBA,ARSLAN OZGÜN,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
ALBA,VELULA ADEL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
ALBA,CSEGEZI EDIT-SUSANA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ALBA,DEÁK-SZÉKELY SZILÁRD-LEVENTE,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ALBA,CSEP TIMEA-MARIA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ALBA,LÖRINCZ HELGA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ALBA,CSONGVAI ARTÚR-EDVIN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ALBA,HARI ATTILA-ISTVÁN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ALBA,VASS IMRE-LEVENTE,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
ALBA,IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA
ALBA,MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA
ALBA,JUCAN IOANA-CRISTINA,UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA
ALBA,ZISOPOL DRAGOȘ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA
ALBA,LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA
ALBA,LONGHER VICTORIA,UNIUNEA POLONEZILOR DIN ROMÂNIA
ALBA,IRIȘEC IOSEF,UNIUNEA POLONEZILOR DIN ROMÂNIA
ALBA,ZIELONKA ANA,UNIUNEA POLONEZILOR DIN ROMÂNIA
ALBA,NANU DANA-ELISABETA,UNIUNEA SALVAȚI ROMÂNIA
ALBA,RĂDIȚOIU FLAVIU-LUCIAN,UNIUNEA SALVAȚI ROMÂNIA
ALBA,ROF MARIUS-NICOLAE,UNIUNEA SALVAȚI ROMÂNIA
ALBA,BORTEȘ DAN-GABRIEL,UNIUNEA SALVAȚI ROMÂNIA
ALBA,OLTEAN CLAUDIU-LUCIAN,UNIUNEA SALVAȚI ROMÂNIA
ALBA,CATRINESCU RODICA-CRISTINA,UNIUNEA SALVAȚI ROMÂNIA
ALBA,PANȚA LUCIAN-SIMION,UNIUNEA SALVAȚI ROMÂNIA
ALBA,CRÎSTICI OGNEAN,UNIUNEA SÂRBILOR DIN ROMÂNIA
ALBA,PETREȚCHI NICOLAE-MIROSLAV,UNIUNEA UCRAINENILOR DIN ROMÂNIA
ALBA,HORVAT IRINA-LIUBA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
ALBA,SAUCIUC ILIE,UNIUNEA UCRAINENILOR DIN ROMÂNIA
ALBA,SZABO-CONDREI MARIA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
ALBA,PASENCIUC VASILE,UNIUNEA UCRAINENILOR DIN ROMÂNIA
ALBA,GHERMAN LUCICA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
ARAD,DIMA MARIAN-DAN,ALIANȚA NAȚIONAL CREȘTINĂ
ARAD,ARTIMON DAN-CĂTĂLIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
ARAD,PASCARIU MIHAI-COSMIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
